Day,Weekday,Hour,E_LastHour,E_1,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,E_10,E_11,E_12
05/16/22,0,21,0.0,0.48180154,0.2821733,0.1722849,0.3344528,0.43431973,0.33503968,0.3797239,0.551748,0.32230508,0.39508605,1.8148472,11.554024
05/16/22,0,22,0.002674999999999997,0.43082762,0.31790757,0.33707052,0.533363,0.47623283,0.4237972,0.50731176,0.5939672,0.70077085,2.79591,12.571714,22.237257
05/16/22,0,23,0.0,0.3421568,0.3643767,0.3094235,0.3802287,0.42436972,0.5380496,0.38306293,0.3359713,1.3094432,10.511034,20.55901,16.643822
05/17/22,1,0,0.0,0.36267823,0.6803292,0.5818625,0.51388603,0.4601053,0.6527344,0.9522541,3.1798244,14.296085,22.009054,16.958593,10.639958
05/17/22,1,1,0.0,0.47231796,0.6561883,0.59746164,0.8730266,0.9446986,1.1542777,3.4438612,13.86236,22.006845,16.576479,10.961392,8.594114
05/17/22,1,2,0.0,0.6908133,0.78768593,0.70800513,0.76232415,1.0148677,3.3272927,13.366602,22.05466,17.764992,10.84111,8.215646,7.285253
05/17/22,1,3,0.0,0.70799434,0.79184544,0.6116254,0.82617974,3.1993768,14.177368,22.07647,17.928753,11.903031,9.4286175,7.9127755,6.3057995
05/17/22,1,4,0.0,0.4184435,0.60021776,0.76790196,2.8017066,12.93852,20.306297,16.090313,10.703309,8.625925,7.3919725,6.4491673,5.666921
05/17/22,1,5,0.0,0.39831477,0.896458,2.8595674,13.879699,21.55258,16.874413,11.060941,8.83928,7.978096,7.0377593,6.370145,5.558766
05/17/22,1,6,0.0,0.86408436,3.6794057,14.186196,22.194927,17.748287,11.041666,8.66252,7.0796237,6.5404406,6.5557556,5.553915,3.4960895
05/17/22,1,7,0.0,2.6351264,13.259021,21.73843,17.041796,11.401072,9.052287,7.427704,6.033448,5.6585026,5.500803,3.2743926,1.551929
05/17/22,1,8,7.376416666666667,23.9634,25.033222,18.58459,13.802212,10.350962,7.669759,8.334175,4.5695243,4.4578457,1.2898151,0.5546211,0.17117444
05/17/22,1,9,26.264908333333334,27.890034,20.084587,13.350542,7.0389557,4.204588,3.1318467,3.8254216,5.5977357e-06,1.1062394e-05,1.264589e-07,2.1314708e-09,1.21234445e-08
05/17/22,1,10,24.79736666666667,15.051624,5.5017414,4.5208797,4.4184604,1.9214728,1.2185943,1.1714774,0.0016563161,2.9309549e-05,0.00012946344,4.1811563e-05,0.00017825849
05/17/22,1,11,19.398108333333333,11.575157,9.209699,5.818419,4.363934,3.6302211,2.667364,1.2814003,0.0038119203,1.0034547e-07,5.3341584e-05,0.00041982037,0.0005866662
05/17/22,1,12,10.040283333333335,5.471756,5.626962,3.9281275,4.2421956,3.3335524,1.9584545,1.3190676,0.01004349,7.895327e-07,0.00035000982,0.0031766172,0.0029795594
05/17/22,1,13,0.4635666666666687,2.151571,3.5722094,1.9851551,3.1692762,3.0742226,1.5762336,1.1179606,0.03608548,0.00012596528,0.024958067,0.21571629,0.2567898
05/17/22,1,14,1.9053416666666667,1.9676973,1.5735517,1.3505561,1.0802107,0.7199617,0.30488455,0.24872042,0.10731009,0.057296302,0.40764555,1.0707608,0.87543565
05/17/22,1,15,7.712999999999997,6.292609,4.4887276,2.426842,1.9121706,1.4922311,1.4594446,1.2827846,0.90409,0.56561935,0.35242316,0.2473702,0.10166921
05/17/22,1,16,7.418983333333333,3.888455,2.874002,1.920542,1.4461079,0.98825717,0.98541164,0.6089666,0.40260988,0.20214468,0.2309124,0.23579244,0.13046947
05/17/22,1,17,6.515500000000001,3.520208,2.0956266,1.7000853,1.4660816,0.7652289,0.618214,0.4985317,0.18242362,0.06807962,0.18199797,0.32673854,0.060950823
05/17/22,1,18,5.312041666666667,3.028014,1.7981806,1.488947,1.3477136,0.7233971,0.57298034,0.47333014,0.18475461,0.089791656,0.2199763,0.39142436,0.08266448
05/17/22,1,19,0.9221249999999999,1.1987631,1.0632019,0.94554746,1.2443068,0.8568698,0.5720059,0.42111498,0.16080914,0.10073345,0.31504297,0.52421975,0.2344845
05/17/22,1,20,0.3775666666666666,0.65580916,0.5475908,0.42993322,0.5187425,0.4009636,0.25085256,0.21576987,0.11551067,0.17875597,0.36112383,0.5562945,0.54551643
05/17/22,1,21,0.07785833333333325,0.5819578,0.34077433,0.19561055,0.42153972,0.5838805,0.43525353,0.33249193,0.4210952,0.5672168,0.6215422,1.028769,3.6174605
05/17/22,1,22,0.006141666666666663,0.43875104,0.3584104,0.30893755,0.53263587,0.57065874,0.45077437,0.4883396,0.6560115,0.84782934,2.1333063,6.8676476,12.759394
05/17/22,1,23,0.0,0.29184836,0.37204075,0.28757623,0.34121016,0.4313569,0.55075765,0.41025817,0.390071,1.1765139,6.703747,12.236229,8.861568
